Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
20232_31005_96503_CONSSF-B,CONSTRUCCION DE SOFTWARE_CONSSF-B(20232),20232_31005_96503_CONSSF-B,20232_31005,CONSTRUCCION DE SOFTWARE_CONSSF-B(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERIA DE SISTEMAS JORNADA MIXTA/NIVEL 4,20232_31005_4,20232_31005,20232_18
20232_31005_41155_DESMOV,DESARROLLO MOVIL_DESMOV(20232),20232_31005_41155_DESMOV,20232_31005,DESARROLLO MOVIL_DESMOV(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERIA DE SISTEMAS JORNADA MIXTA/NIVEL 7,20232_31005_7,20232_31005,20232_18
20232_31005_41115_DESORSER,DESARROLLO ORIENTADO A SERVICIOS_DESORSER(20232),20232_31005_41115_DESORSER,20232_31005,DESARROLLO ORIENTADO A SERVICIOS_DESORSER(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERIA DE SISTEMAS JORNADA MIXTA/NIVEL 6,20232_31005_6,20232_31005,20232_18
20232_31005_96905_TRGRI,TRABAJO DE GRADO I_TRGRI(20232),20232_31005_96905_TRGRI,20232_31005,TRABAJO DE GRADO I_TRGRI(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERIA DE SISTEMAS JORNADA MIXTA/NIVEL 9,20232_31005_9,20232_31005,20232_18
20232_31005_96181_POO-C,PROGRAMACION ORIENTADA A OBJETOS_POO-C(20232),20232_31005_96181_POO-C,20232_31005,PROGRAMACION ORIENTADA A OBJETOS_POO-C(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERIA DE SISTEMAS JORNADA MIXTA/NIVEL 2,20232_31005_2,20232_31005,20232_18
20232_31005_41157_VIDEOJUEGOS,DESARROLLO DE VIDEO JUEGOS_VIDEOJUEGOS(20232),20232_31005_41157_VIDEOJUEGOS,20232_31005,DESARROLLO DE VIDEO JUEGOS_VIDEOJUEGOS(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERIA DE SISTEMAS JORNADA MIXTA/NIVEL 9,20232_31005_9,20232_31005,20232_18
20232_31009_30562_EXPR II- A,EXPRESION II_EXPR II- A(20232),20232_31009_30562_EXPR II- A,20232_31009,EXPRESION II_EXPR II- A(20232),20232/CIENCIAS SOCIALES Y DE LA EDUCACIÓN - TUNJA/DISEÑO DE INTERACCIÓN JORNADA DIURNA/NIVEL 2,20232_31009_2,20232_31009,20232_35
20232_31009_30625_DIMEN DEL DISÑ,DIMENSIONES DEL DISEÑO DE INTERACCION _DIMEN DEL DISÑ(20232),20232_31009_30625_DIMEN DEL DISÑ,20232_31009,DIMENSIONES DEL DISEÑO DE INTERACCION _DIMEN DEL DISÑ(20232),20232/CIENCIAS SOCIALES Y DE LA EDUCACIÓN - TUNJA/DISEÑO DE INTERACCIÓN JORNADA DIURNA/NIVEL 3,20232_31009_3,20232_31009,20232_35
20232_31009_30609_PROYE INT II,PROYECTO DE INTERACCION II_PROYE INT II(20232),20232_31009_30609_PROYE INT II,20232_31009,PROYECTO DE INTERACCION II_PROYE INT II(20232),20232/CIENCIAS SOCIALES Y DE LA EDUCACIÓN - TUNJA/DISEÑO DE INTERACCIÓN JORNADA DIURNA/NIVEL 5,20232_31009_5,20232_31009,20232_35
20232_31009_30497_INTRO PROGR -A,INTRODUCCION A LA PROGRAMACION _INTRO PROGR -A(20232),20232_31009_30497_INTRO PROGR -A,20232_31009,INTRODUCCION A LA PROGRAMACION _INTRO PROGR -A(20232),20232/CIENCIAS SOCIALES Y DE LA EDUCACIÓN - TUNJA/DISEÑO DE INTERACCIÓN JORNADA DIURNA/NIVEL 1,20232_31009_1,20232_31009,20232_35
