,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
328,20232_30002_95086_AMB6,INGLES VI_AMB6(),20232_30002_95086_AMB6,20232_30002,INGLES VI_AMB6(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE IDIOMAS - TUNJA JORNADA DIURNA/NIVEL 6,20232_30002_6,20232_30002,20232_12
329,20232_30002_95130_CIVA5,IDIOMA EXTRANJERO V_CIVA5(),20232_30002_95130_CIVA5,20232_30002,IDIOMA EXTRANJERO V_CIVA5(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE IDIOMAS - TUNJA JORNADA DIURNA/NIVEL 5,20232_30002_5,20232_30002,20232_12
330,20232_30002_95125_CIV1,IDIOMA EXTRANJERO I_CIV1(),20232_30002_95125_CIV1,20232_30002,IDIOMA EXTRANJERO I_CIV1(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE IDIOMAS - TUNJA JORNADA DIURNA/NIVEL 1,20232_30002_1,20232_30002,20232_12
331,20232_30002_95130_CIVB5,IDIOMA EXTRANJERO V_CIVB5(),20232_30002_95130_CIVB5,20232_30002,IDIOMA EXTRANJERO V_CIVB5(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE IDIOMAS - TUNJA JORNADA DIURNA/NIVEL 5,20232_30002_5,20232_30002,20232_12
332,20232_32020_20227_B,TEORIA DEL ESTADO Y LA CONSTITUCION_B(),20232_32020_20227_B,20232_32020,TEORIA DEL ESTADO Y LA CONSTITUCION_B(20232),20232/CIENCIAS JURÍDICAS Y POLÍTICAS/DERECHO JORNADA DIURNA/NIVEL 2,20232_32020_2,20232_32020,20232_32
333,20232_32020_20803_A,SEGURIDAD SOCIAL_A(),20232_32020_20803_A,20232_32020,SEGURIDAD SOCIAL_A(20232),20232/CIENCIAS JURÍDICAS Y POLÍTICAS/DERECHO JORNADA DIURNA/NIVEL 7,20232_32020_7,20232_32020,20232_32
334,20232_32020_20811_C,DERECHO PROCESAL PENAL_C(),20232_32020_20811_C,20232_32020,DERECHO PROCESAL PENAL_C(20232),20232/CIENCIAS JURÍDICAS Y POLÍTICAS/DERECHO JORNADA DIURNA/NIVEL 8,20232_32020_8,20232_32020,20232_32
335,20232_32020_20234_B,DERECHO ADMINISTRATIVO COLOMBIANO_B(),20232_32020_20234_B,20232_32020,DERECHO ADMINISTRATIVO COLOMBIANO_B(20232),20232/CIENCIAS JURÍDICAS Y POLÍTICAS/DERECHO JORNADA DIURNA/NIVEL 2,20232_32020_2,20232_32020,20232_32
336,20232_32020_20229_A,ECONOMIA POLITICA COLOMBIANA_A(),20232_32020_20229_A,20232_32020,ECONOMIA POLITICA COLOMBIANA_A(20232),20232/CIENCIAS JURÍDICAS Y POLÍTICAS/DERECHO JORNADA DIURNA/NIVEL 3,20232_32020_3,20232_32020,20232_32
337,20232_32020_20602_B,CONTRATOS CIVILES Y COMERCIALES_B(),20232_32020_20602_B,20232_32020,CONTRATOS CIVILES Y COMERCIALES_B(20232),20232/CIENCIAS JURÍDICAS Y POLÍTICAS/DERECHO JORNADA DIURNA/NIVEL 6,20232_32020_6,20232_32020,20232_32
